,Customer ID,Customer Name,Segment,Region,Country,City,State,Postal Code
0,CG-12520,Claire Gute,Consumer,South,United States,Henderson,Kentucky,42420
2,DV-13045,Darrin Van Huff,Corporate,West,United States,Los Angeles,California,90036
3,SO-20335,Sean O'Donnell,Consumer,South,United States,Fort Lauderdale,Florida,33311
5,BH-11710,Brosina Hoffman,Consumer,West,United States,Los Angeles,California,90032
12,AA-10480,Andrew Allen,Consumer,South,United States,Concord,North Carolina,28027
13,IM-15070,Irene Maddox,Consumer,West,United States,Seattle,Washington,98103
14,HP-14815,Harold Pawlan,Home Office,Central,United States,Fort Worth,Texas,76106
16,PK-19075,Pete Kriz,Consumer,Central,United States,Madison,Wisconsin,53711
17,AG-10270,Alejandro Grove,Consumer,West,United States,West Jordan,Utah,84084
18,ZD-21925,Zuschuss Donatelli,Consumer,West,United States,San Francisco,California,94109
21,KB-16585,Ken Black,Corporate,Central,United States,Fremont,Nebraska,68025
23,SF-20065,Sandra Flanagan,Consumer,East,United States,Philadelphia,Pennsylvania,19140
24,EB-13870,Emily Burns,Consumer,West,United States,Orem,Utah,84057
25,EH-13945,Eric Hoffmann,Consumer,West,United States,Los Angeles,California,90049
27,TB-21520,Tracy Blumstein,Consumer,East,United States,Philadelphia,Pennsylvania,19140
34,MA-17560,Matt Abelman,Home Office,Central,United States,Houston,Texas,77095
35,GH-14485,Gene Hale,Corporate,Central,United States,Richardson,Texas,75080
37,SN-20710,Steve Nguyen,Home Office,Central,United States,Houston,Texas,77041
41,LC-16930,Linda Cazamias,Corporate,Central,United States,Naperville,Illinois,60540
42,RA-19885,Ruben Ausman,Corporate,West,United States,Los Angeles,California,90049
43,ES-14080,Erin Smith,Corporate,South,United States,Melbourne,Florida,32935
44,ON-18715,Odella Nelson,Corporate,Central,United States,Eagan,Minnesota,55122
46,PO-18865,Patrick O'Donnell,Consumer,Central,United States,Westland,Michigan,48185
47,LH-16900,Lena Hernandez,Consumer,East,United States,Dover,Delaware,19901
49,DP-13000,Darren Powers,Consumer,Central,United States,New Albany,Indiana,47150
53,JM-15265,Janet Molinari,Corporate,East,United States,New York City,New York,10024
55,TB-21055,Ted Butterfield,Consumer,East,United States,Troy,New York,12180
62,KM-16720,Kunst Miller,Consumer,West,United States,Los Angeles,California,90004
66,PS-18970,Paul Stevenson,Home Office,Central,United States,Chicago,Illinois,60610
67,BS-11590,Brendan Sweed,Corporate,West,United States,Gilbert,Arizona,85234
69,KD-16270,Karen Daniels,Consumer,South,United States,Springfield,Virginia,22153
70,HM-14980,Henry MacAllister,Consumer,East,United States,New York City,New York,10009
71,TB-21520,Tracy Blumstein,Consumer,Central,United States,Jackson,Michigan,49201
72,JE-15745,Joel Eaton,Consumer,South,United States,Memphis,Tennessee,38109
75,KB-16600,Ken Brennan,Corporate,Central,United States,Houston,Texas,77041
78,JE-15745,Joel Eaton,Consumer,Central,United States,Houston,Texas,77070
79,SC-20770,Stewart Carmichael,Corporate,South,United States,Decatur,Alabama,35601
81,DN-13690,Duane Noonan,Consumer,West,United States,San Francisco,California,94122
83,JC-16105,Julie Creighton,Corporate,South,United States,Durham,North Carolina,27707
84,CS-12400,Christopher Schild,Home Office,Central,United States,Chicago,Illinois,60623
85,PO-18865,Patrick O'Donnell,Consumer,South,United States,Columbia,South Carolina,29203
86,PG-18895,Paul Gonzalez,Consumer,Central,United States,Rochester,Minnesota,55901
88,GM-14455,Gary Mitchum,Home Office,Central,United States,Houston,Texas,77095
89,JS-15685,Jim Sink,Corporate,West,United States,Los Angeles,California,90036
92,KB-16315,Karl Braun,Consumer,Central,United States,Minneapolis,Minnesota,55407
95,RB-19705,Roger Barcio,Home Office,West,United States,Portland,Oregon,97206
96,PN-18775,Parhena Norris,Home Office,East,United States,New York City,New York,10009
97,KD-16345,Katherine Ducich,Consumer,West,United States,San Francisco,California,94122
98,ER-13855,Elpida Rittenbach,Corporate,Central,United States,Saint Paul,Minnesota,55106
99,RB-19465,Rick Bensley,Home Office,Central,United States,Chicago,Illinois,60610
102,GZ-14470,Gary Zandusky,Consumer,Central,United States,Rochester,Minnesota,55901
103,LC-16870,Lena Cacioppo,Consumer,West,United States,Aurora,Colorado,80013
106,JM-15250,Janet Martin,Consumer,South,United States,Charlotte,North Carolina,28205
109,PA-19060,Pete Armstrong,Home Office,Central,United States,Orland Park,Illinois,60462
110,CV-12805,Cynthia Voltz,Corporate,East,United States,New York City,New York,10035
111,CL-12565,Clay Ludtke,Consumer,Central,United States,Urbandale,Iowa,50322
113,RC-19960,Ryan Crowe,Consumer,East,United States,Columbus,Ohio,43229
117,DK-13090,Dave Kipp,Consumer,West,United States,Seattle,Washington,98103
118,GG-14650,Greg Guthrie,Corporate,South,United States,Bristol,Tennessee,37620
119,SC-20725,Steven Cartwright,Consumer,East,United States,Wilmington,Delaware,19805
124,AD-10180,Alan Dominguez,Home Office,Central,United States,Houston,Texas,77041
125,PF-19165,Philip Fox,Consumer,Central,United States,Bloomington,Illinois,61701
126,TS-21610,Troy Staebel,Consumer,West,United States,Phoenix,Arizona,85023
128,LS-16975,Lindsay Shagiari,Home Office,West,United States,Los Angeles,California,90004
130,DW-13585,Dorothy Wardle,Corporate,East,United States,Columbus,Ohio,43229
133,LC-16885,Lena Creighton,Consumer,West,United States,Roseville,California,95661
140,JD-15895,Jonathan Doherty,Corporate,East,United States,Philadelphia,Pennsylvania,19140
141,SH-19975,Sally Hughsby,Corporate,West,United States,San Francisco,California,94122
144,SG-20080,Sandra Glassco,Consumer,Central,United States,Independence,Missouri,64055
145,HA-14920,Helen Andreada,Consumer,West,United States,Pasadena,California,91104
146,MG-17680,Maureen Gastineau,Home Office,East,United States,Newark,Ohio,43055
147,JE-16165,Justin Ellison,Corporate,Central,United States,Franklin,Wisconsin,53132
151,TW-21025,Tamara Willingham,Home Office,West,United States,Scottsdale,Arizona,85254
153,SP-20650,Stephanie Phelps,Corporate,West,United States,San Jose,California,95123
156,NK-18490,Neil Knudson,Home Office,West,United States,Seattle,Washington,98105
157,DB-13060,Dave Brooks,Consumer,West,United States,Seattle,Washington,98115
158,NP-18670,Nora Paige,Consumer,Central,United States,Edmond,Oklahoma,73034
160,TT-21070,Ted Trevino,Consumer,West,United States,Los Angeles,California,90045
161,EM-13960,Eric Murdock,Consumer,East,United States,Philadelphia,Pennsylvania,19134
162,RD-19900,Ruben Dartt,Consumer,West,United States,Carlsbad,New Mexico,88220
163,MJ-17740,Max Jones,Consumer,West,United States,Seattle,Washington,98115
164,BM-11140,Becky Martin,Consumer,Central,United States,San Antonio,Texas,78207
171,CS-12130,Chad Sievert,Consumer,West,United States,Los Angeles,California,90004
174,JB-15400,Jennifer Braxton,Corporate,Central,United States,Chicago,Illinois,60623
176,SJ-20500,Shirley Jackson,Consumer,Central,United States,Houston,Texas,77036
177,JE-15745,Joel Eaton,Consumer,East,United States,Newark,Ohio,43055
179,JK-15640,Jim Kriz,Home Office,East,United States,New York City,New York,10009
180,DK-13150,David Kendrick,Corporate,Central,United States,Decatur,Illinois,62521
182,RM-19675,Robert Marley,Home Office,South,United States,Monroe,Louisiana,71203
