Customer_ID,Name,Segment
1,Claire Gute,Consumer
2,Darrin Van Huff,Corporate
3,Sean O'Donnell,Consumer
4,Brosina Hoffman,Consumer
5,Andrew Allen,Consumer
6,Irene Maddox,Consumer
7,Harold Pawlan,Home Office
8,Pete Kriz,Consumer
9,Alejandro Grove,Consumer
10,Zuschuss Donatelli,Consumer
11,Ken Black,Corporate
12,Sandra Flanagan,Consumer
13,Emily Burns,Consumer
14,Eric Hoffmann,Consumer
15,Tracy Blumstein,Consumer
16,Matt Abelman,Home Office
17,Gene Hale,Corporate
18,Steve Nguyen,Home Office
19,Linda Cazamias,Corporate
20,Ruben Ausman,Corporate
21,Erin Smith,Corporate
22,Odella Nelson,Corporate
23,Patrick O'Donnell,Consumer
24,Lena Hernandez,Consumer
25,Darren Powers,Consumer
26,Janet Molinari,Corporate
27,Ted Butterfield,Consumer
28,Kunst Miller,Consumer
29,Paul Stevenson,Home Office
30,Brendan Sweed,Corporate
31,Karen Daniels,Consumer
32,Henry MacAllister,Consumer
33,Tracy Blumstein,Consumer
34,Joel Eaton,Consumer
35,Ken Brennan,Corporate
36,Joel Eaton,Consumer
37,Stewart Carmichael,Corporate
38,Duane Noonan,Consumer
39,Julie Creighton,Corporate
40,Christopher Schild,Home Office
41,Patrick O'Donnell,Consumer
42,Paul Gonzalez,Consumer
43,Gary Mitchum,Home Office
44,Jim Sink,Corporate
45,Karl Braun,Consumer
46,Roger Barcio,Home Office
47,Parhena Norris,Home Office
48,Katherine Ducich,Consumer
49,Elpida Rittenbach,Corporate
50,Rick Bensley,Home Office
51,Gary Zandusky,Consumer
52,Lena Cacioppo,Consumer
53,Janet Martin,Consumer
54,Pete Armstrong,Home Office
55,Cynthia Voltz,Corporate
56,Clay Ludtke,Consumer
57,Ryan Crowe,Consumer
58,Dave Kipp,Consumer
59,Greg Guthrie,Corporate
60,Steven Cartwright,Consumer
61,Alan Dominguez,Home Office
62,Philip Fox,Consumer
63,Troy Staebel,Consumer
64,Lindsay Shagiari,Home Office
65,Dorothy Wardle,Corporate
66,Lena Creighton,Consumer
67,Jonathan Doherty,Corporate
68,Sally Hughsby,Corporate
69,Sandra Glassco,Consumer
70,Helen Andreada,Consumer
71,Maureen Gastineau,Home Office
72,Justin Ellison,Corporate
73,Tamara Willingham,Home Office
74,Stephanie Phelps,Corporate
75,Neil Knudson,Home Office
76,Dave Brooks,Consumer
77,Nora Paige,Consumer
78,Ted Trevino,Consumer
79,Eric Murdock,Consumer
80,Ruben Dartt,Consumer
81,Max Jones,Consumer
82,Becky Martin,Consumer
83,Chad Sievert,Consumer
84,Jennifer Braxton,Corporate
85,Shirley Jackson,Consumer
86,Joel Eaton,Consumer
87,Jim Kriz,Home Office
88,David Kendrick,Corporate
89,Robert Marley,Home Office
90,Sally Knutson,Consumer
91,Frank Merwin,Home Office
92,Alice McCarthy,Corporate
93,Mark Packer,Home Office
94,Mary Zewe,Corporate
95,Cassandra Brandow,Consumer
96,Valerie Mitchum,Home Office
97,Fred Hopkins,Corporate
98,Maria Bertelson,Consumer
99,Bruce Stewart,Consumer
100,Logan Currie,Consumer
101,Heather Kirkland,Corporate
102,Laurel Elliston,Consumer
103,Joseph Holt,Consumer
104,Michael Stewart,Corporate
105,Victoria Wilson,Corporate
106,Jonathan Howell,Consumer
107,Joni Blumstein,Consumer
108,David Smith,Corporate
109,Valerie Dominguez,Consumer
110,Erin Ashbrook,Corporate
111,Christopher Schild,Home Office
112,David Bremer,Corporate
113,Ken Lonsdale,Consumer
114,Dianna Wilson,Home Office
115,Logan Haushalter,Consumer
116,Kelly Collister,Consumer
117,Delfina Latchford,Consumer
118,Dan Reichenbach,Corporate
119,Craig Carreira,Consumer
120,Dorris liebe,Corporate
121,Sean Braxton,Corporate
122,Roy Collins,Consumer
123,Alan Hwang,Consumer
124,Claudia Bergmann,Corporate
125,Paul Gonzalez,Consumer
126,Christine Abelman,Corporate
127,Kristen Hastings,Corporate
128,Helen Andreada,Consumer
129,Barry Blumstein,Corporate
130,Andrew Gjertsen,Corporate
131,Steven Cartwright,Consumer
132,Jas O'Carroll,Consumer
133,Tracy Blumstein,Consumer
134,Alan Haines,Corporate
135,Nick Zandusky,Home Office
136,Kelly Lampkin,Corporate
137,Jonathan Doherty,Corporate
138,Jonathan Howell,Consumer
139,Alan Schoenberger,Corporate
140,Ken Brennan,Corporate
141,Corey Roper,Home Office
142,Shahid Hopkins,Consumer
143,Ben Peterman,Corporate
144,Thomas Seio,Corporate
145,Andy Gerbode,Corporate
146,Sung Pak,Corporate
147,Nathan Mautz,Home Office
148,Frank Atkinson,Corporate
149,Grace Kelly,Corporate
150,Don Jones,Corporate
151,Patrick O'Brill,Consumer
152,John Lucas,Consumer
153,Doug Bickford,Consumer
154,Alyssa Crouse,Corporate
155,Ken Lonsdale,Consumer
156,Chad Sievert,Consumer
157,Clay Cheatham,Consumer
158,Tamara Dahlen,Consumer
159,Adam Bellavance,Home Office
160,Jeremy Lonsdale,Consumer
161,Heather Kirkland,Corporate
162,Victoria Brennan,Corporate
163,Katrina Willman,Consumer
164,Julia Dunbar,Consumer
165,Michael Kennedy,Corporate
166,Guy Thornton,Consumer
167,Arthur Gainer,Consumer
168,Muhammed MacIntyre,Corporate
169,Allen Rosenblatt,Corporate
170,Russell Applegate,Consumer
171,Alejandro Savely,Corporate
172,Laura Armstrong,Corporate
173,Denny Ordway,Consumer
174,Dean Katz,Corporate
175,Nathan Gelder,Consumer
176,Mike Vittorini,Consumer
177,Jack Garza,Consumer
178,Bart Pistole,Corporate
179,Victor Preis,Home Office
180,Saphhira Shifley,Corporate
181,Harold Pawlan,Home Office
182,Anna Gayman,Consumer
183,Luke Foster,Consumer
184,Stephanie Phelps,Corporate
185,Roy Französisch,Consumer
186,Keith Herrera,Consumer
187,Kimberly Carter,Corporate
188,Caroline Jumper,Consumer
189,Philip Brown,Consumer
190,Victoria Brennan,Corporate
191,Sung Pak,Corporate
192,Joel Eaton,Consumer
193,Michael Paige,Corporate
194,Natalie Fritzler,Consumer
195,Janet Molinari,Corporate
196,Shirley Daniels,Home Office
197,Ken Heidel,Corporate
198,Ross Baird,Home Office
199,Dave Brooks,Consumer
200,Mike Kennedy,Consumer
201,Philisse Overcash,Home Office
202,Brenda Bowman,Corporate
203,Cynthia Voltz,Corporate
204,Pete Kriz,Consumer
205,Troy Blackwell,Consumer
206,Raymond Buch,Consumer
207,Ed Braxton,Corporate
208,Ken Heidel,Corporate
209,Sanjit Chand,Consumer
210,Natalie Fritzler,Consumer
211,Joseph Holt,Consumer
212,Tanja Norvell,Home Office
213,Joni Sundaresam,Home Office
214,David Smith,Corporate
215,Craig Carreira,Consumer
216,Maya Herman,Corporate
217,Jeremy Pistek,Consumer
218,Kristen Hastings,Corporate
219,Jeremy Ellison,Consumer
220,John Grady,Corporate
221,Xylona Preis,Consumer
222,Erin Mull,Consumer
223,Michelle Tran,Home Office
224,Sue Ann Reed,Consumer
225,Carl Weiss,Home Office
226,Astrea Jones,Consumer
227,Sonia Sunley,Consumer
228,Rose O'Brian,Consumer
229,Maribeth Dona,Consumer
230,Sanjit Chand,Consumer
231,Maribeth Yedwab,Corporate
232,Ed Braxton,Corporate
233,Christopher Martinez,Consumer
234,Lynn Smith,Consumer
235,Luke Foster,Consumer
236,Bradley Nguyen,Consumer
237,Alan Dominguez,Home Office
238,Dean Braden,Consumer
239,Matt Connell,Corporate
240,Logan Haushalter,Consumer
241,Brian Dahlen,Consumer
242,Patricia Hirasaki,Home Office
243,Mike Gockenbach,Consumer
244,Karen Bern,Corporate
245,Jasper Cacioppo,Consumer
246,Rob Lucas,Consumer
247,Allen Armold,Consumer
248,Emily Phan,Consumer
249,Mark Packer,Home Office
250,Darren Koutras,Consumer
251,Bradley Drucker,Consumer
252,Erin Smith,Corporate
253,Liz MacKendrick,Consumer
254,Paul Gonzalez,Consumer
255,Adrian Shami,Home Office
256,Dean Katz,Corporate
257,Bill Donatelli,Consumer
258,Ryan Crowe,Consumer
259,Greg Tran,Consumer
260,Dean Katz,Corporate
261,Ashley Jarboe,Consumer
262,Olvera Toch,Consumer
263,Liz Pelletier,Consumer
264,Cynthia Arntzen,Consumer
265,Jeremy Farry,Consumer
266,Frank Preis,Consumer
267,Ellis Ballard,Corporate
268,Jennifer Ferguson,Consumer
269,Sarah Foster,Consumer
270,Trudy Glocke,Consumer
271,Carlos Soltero,Consumer
272,Charles Crestani,Consumer
273,Dianna Vittorini,Consumer
274,Bruce Degenhardt,Consumer
275,Zuschuss Carroll,Consumer
276,Melanie Seite,Consumer
277,Lena Radford,Consumer
278,Theone Pippenger,Consumer
279,Chloris Kastensmidt,Consumer
280,Alan Shonely,Consumer
281,Andrew Roberts,Consumer
282,Nona Balk,Corporate
283,Giulietta Dortch,Corporate
284,Clytie Kelty,Consumer
285,Nat Gilpin,Corporate
286,Christina Anderson,Consumer
287,Sylvia Foulston,Corporate
288,Meg O'Connel,Home Office
289,Annie Thurman,Consumer
290,Logan Currie,Consumer
291,Fred McMath,Consumer
292,Brian Dahlen,Consumer
293,Denny Joy,Corporate
294,Max Engle,Consumer
295,Rick Bensley,Home Office
296,Justin Deggeller,Corporate
297,John Lee,Consumer
298,Sean Christensen,Consumer
299,Tamara Willingham,Home Office
300,Chuck Clark,Home Office
301,Barry Blumstein,Corporate
302,Anthony Rawles,Corporate
303,Steven Roelle,Home Office
304,Allen Rosenblatt,Corporate
305,Craig Reiter,Consumer
306,Eugene Hildebrand,Home Office
307,Cassandra Brandow,Consumer
308,Sibella Parks,Corporate
309,Roy Collins,Consumer
310,Tiffany House,Corporate
311,Resi Pölking,Consumer
312,Meg O'Connel,Home Office
313,Tamara Dahlen,Consumer
314,Rob Beeghly,Consumer
315,Carol Darley,Consumer
316,Doug Jacobs,Consumer
